entidad,proyecto,count
Contralor’a General de la Repœblica,Celulosa,0
Contralor’a General de la Repœblica,ERNC,0
Contralor’a General de la Repœblica,Gran Miner’a,0
Contralor’a General de la Repœblica,Hidro,0
Contralor’a General de la Repœblica,Hospitales,0
Contralor’a General de la Repœblica,Metro,0
Contralor’a General de la Repœblica,Planta Desaladora,0
Contralor’a General de la Repœblica,Qu’micos,0
Contralor’a General de la Repœblica,Residencial,0
Contralor’a General de la Repœblica,Transmisi—n,0
Contralor’a General de la Repœblica,Vialidad,1
Consejo de Monumentos Nacionales (CMN),Acuícola,5
Consejo de Monumentos Nacionales (CMN),Agroindustria,7
Consejo de Monumentos Nacionales (CMN),Aguas servidas,7
Consejo de Monumentos Nacionales (CMN),Celulosa,7
Consejo de Monumentos Nacionales (CMN),ERNC,5
Consejo de Monumentos Nacionales (CMN),Gran Miner’a,5
Consejo de Monumentos Nacionales (CMN),Hidro,5
Consejo de Monumentos Nacionales (CMN),Hospitales,8
Consejo de Monumentos Nacionales (CMN),Metro,8
Consejo de Monumentos Nacionales (CMN),Planta Desaladora,5
Consejo de Monumentos Nacionales (CMN),Qu’micos,8
Consejo de Monumentos Nacionales (CMN),Residencial,7
Consejo de Monumentos Nacionales (CMN),Transmisi—n,6
Consejo de Monumentos Nacionales (CMN),Vialidad,7
Comisi—n Nacional de Energ’a (CNE),Acuícola,1
Comisi—n Nacional de Energ’a (CNE),Agroindustria,0
Comisi—n Nacional de Energ’a (CNE),Aguas servidas,1
Comisi—n Nacional de Energ’a (CNE),Celulosa,1
Comisi—n Nacional de Energ’a (CNE),ERNC,3
Comisi—n Nacional de Energ’a (CNE),Gran Miner’a,1
Comisi—n Nacional de Energ’a (CNE),Hidro,3
Comisi—n Nacional de Energ’a (CNE),Hospitales,0
Comisi—n Nacional de Energ’a (CNE),Metro,0
Comisi—n Nacional de Energ’a (CNE),Planta Desaladora,1
Comisi—n Nacional de Energ’a (CNE),Qu’micos,1
Comisi—n Nacional de Energ’a (CNE),Residencial,0
Comisi—n Nacional de Energ’a (CNE),Transmisi—n,3
Comisi—n Nacional de Energ’a (CNE),Vialidad,0
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Acuícola,3
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Agroindustria,4
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Aguas servidas,2
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Celulosa,3
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),ERNC,4
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Gran Miner’a,4
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Hidro,4
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Hospitales,0
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Metro,0
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Planta Desaladora,2
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Qu’micos,0
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Residencial,0
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Transmisi—n,4
Corporaci—n Nacional de Desarrollo Ind’gena (CONADI),Vialidad,4
Corporaci—n Nacional Forestal (CONAF),Acuícola,12
Corporaci—n Nacional Forestal (CONAF),Agroindustria,10
Corporaci—n Nacional Forestal (CONAF),Aguas servidas,14
Corporaci—n Nacional Forestal (CONAF),Celulosa,13
Corporaci—n Nacional Forestal (CONAF),ERNC,15
Corporaci—n Nacional Forestal (CONAF),Gran Miner’a,14
Corporaci—n Nacional Forestal (CONAF),Hidro,13
Corporaci—n Nacional Forestal (CONAF),Hospitales,0
Corporaci—n Nacional Forestal (CONAF),Metro,0
Corporaci—n Nacional Forestal (CONAF),Planta Desaladora,0
Corporaci—n Nacional Forestal (CONAF),Qu’micos,0
Corporaci—n Nacional Forestal (CONAF),Residencial,0
Corporaci—n Nacional Forestal (CONAF),Transmisi—n,11
Corporaci—n Nacional Forestal (CONAF),Vialidad,14
Direcci—n General de Aguas (DGA),Acuícola,6
Direcci—n General de Aguas (DGA),Agroindustria,4
Direcci—n General de Aguas (DGA),Aguas servidas,5
Direcci—n General de Aguas (DGA),Celulosa,6
Direcci—n General de Aguas (DGA),ERNC,9
Direcci—n General de Aguas (DGA),Gran Miner’a,15
Direcci—n General de Aguas (DGA),Hidro,11
Direcci—n General de Aguas (DGA),Hospitales,2
Direcci—n General de Aguas (DGA),Metro,2
Direcci—n General de Aguas (DGA),Planta Desaladora,2
Direcci—n General de Aguas (DGA),Qu’micos,5
Direcci—n General de Aguas (DGA),Residencial,2
Direcci—n General de Aguas (DGA),Transmisi—n,4
Direcci—n General de Aguas (DGA),Vialidad,2
Direcci—n General de Aeron‡utica Civil (DGAC),Acuícola,0
Direcci—n General de Aeron‡utica Civil (DGAC),Agroindustria,1
Direcci—n General de Aeron‡utica Civil (DGAC),Aguas servidas,0
Direcci—n General de Aeron‡utica Civil (DGAC),Celulosa,1
Direcci—n General de Aeron‡utica Civil (DGAC),ERNC,5
Direcci—n General de Aeron‡utica Civil (DGAC),Gran Miner’a,4
Direcci—n General de Aeron‡utica Civil (DGAC),Hidro,5
Direcci—n General de Aeron‡utica Civil (DGAC),Hospitales,4
Direcci—n General de Aeron‡utica Civil (DGAC),Metro,0
Direcci—n General de Aeron‡utica Civil (DGAC),Planta Desaladora,0
Direcci—n General de Aeron‡utica Civil (DGAC),Qu’micos,0
Direcci—n General de Aeron‡utica Civil (DGAC),Residencial,2
Direcci—n General de Aeron‡utica Civil (DGAC),Transmisi—n,6
Direcci—n General de Aeron‡utica Civil (DGAC),Vialidad,1
Direcci—n General de Movilizaci—n Nacional (DGMN),Acuícola,0
Direcci—n General de Movilizaci—n Nacional (DGMN),Agroindustria,0
Direcci—n General de Movilizaci—n Nacional (DGMN),Aguas servidas,9
Direcci—n General de Movilizaci—n Nacional (DGMN),Celulosa,9
Direcci—n General de Movilizaci—n Nacional (DGMN),ERNC,8
Direcci—n General de Movilizaci—n Nacional (DGMN),Gran Miner’a,9
Direcci—n General de Movilizaci—n Nacional (DGMN),Hidro,8
Direcci—n General de Movilizaci—n Nacional (DGMN),Hospitales,0
Direcci—n General de Movilizaci—n Nacional (DGMN),Metro,0
Direcci—n General de Movilizaci—n Nacional (DGMN),Planta Desaladora,9
Direcci—n General de Movilizaci—n Nacional (DGMN),Qu’micos,12
Direcci—n General de Movilizaci—n Nacional (DGMN),Residencial,0
Direcci—n General de Movilizaci—n Nacional (DGMN),Transmisi—n,8
Direcci—n General de Movilizaci—n Nacional (DGMN),Vialidad,8
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Acuícola,0
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Agroindustria,0
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Aguas servidas,0
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Celulosa,0
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,ERNC,0
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Gran Miner’a,2
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Hidro,1
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Hospitales,0
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Metro,0
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Planta Desaladora,0
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Qu’micos,0
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Residencial,0
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Transmisi—n,1
Direcci—n Nacional de Fronteras y L’mites del Estado de Chile,Vialidad,0
Direcci—n de Presupuestos de Chile (DIPRES),Acuícola,0
Direcci—n de Presupuestos de Chile (DIPRES),Agroindustria,0
Direcci—n de Presupuestos de Chile (DIPRES),Aguas servidas,0
Direcci—n de Presupuestos de Chile (DIPRES),Celulosa,0
Direcci—n de Presupuestos de Chile (DIPRES),ERNC,0
Direcci—n de Presupuestos de Chile (DIPRES),Gran Miner’a,0
Direcci—n de Presupuestos de Chile (DIPRES),Hidro,0
Direcci—n de Presupuestos de Chile (DIPRES),Hospitales,0
Direcci—n de Presupuestos de Chile (DIPRES),Metro,1
Direcci—n de Presupuestos de Chile (DIPRES),Planta Desaladora,0
Direcci—n de Presupuestos de Chile (DIPRES),Qu’micos,0
Direcci—n de Presupuestos de Chile (DIPRES),Residencial,0
Direcci—n de Presupuestos de Chile (DIPRES),Transmisi—n,0
Direcci—n de Presupuestos de Chile (DIPRES),Vialidad,1
Direcci—n de Vialidad,Acuícola,7
Direcci—n de Vialidad,Agroindustria,6
Direcci—n de Vialidad,Aguas servidas,10
Direcci—n de Vialidad,Celulosa,5
Direcci—n de Vialidad,ERNC,9
Direcci—n de Vialidad,Gran Miner’a,10
Direcci—n de Vialidad,Hidro,9
Direcci—n de Vialidad,Hospitales,6
Direcci—n de Vialidad,Metro,8
Direcci—n de Vialidad,Planta Desaladora,10
Direcci—n de Vialidad,Qu’micos,10
Direcci—n de Vialidad,Residencial,5
Direcci—n de Vialidad,Transmisi—n,8
Direcci—n de Vialidad,Vialidad,11
Direcci—n del Trabajo (DT),Acuícola,2
Direcci—n del Trabajo (DT),Agroindustria,2
Direcci—n del Trabajo (DT),Aguas servidas,2
Direcci—n del Trabajo (DT),Celulosa,2
Direcci—n del Trabajo (DT),ERNC,2
Direcci—n del Trabajo (DT),Gran Miner’a,2
Direcci—n del Trabajo (DT),Hidro,2
Direcci—n del Trabajo (DT),Hospitales,2
Direcci—n del Trabajo (DT),Metro,2
Direcci—n del Trabajo (DT),Planta Desaladora,2
Direcci—n del Trabajo (DT),Qu’micos,3
Direcci—n del Trabajo (DT),Residencial,2
Direcci—n del Trabajo (DT),Transmisi—n,2
Direcci—n del Trabajo (DT),Vialidad,2
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Acuícola,2
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Agroindustria,1
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Aguas servidas,2
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Celulosa,2
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),ERNC,0
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Gran Miner’a,3
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Hidro,0
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Hospitales,0
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Metro,0
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Planta Desaladora,2
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Qu’micos,0
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Residencial,0
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Transmisi—n,0
Direcci—n General del Territorio Mar’timo y de Marina Mercante (DIRECTEMAR),Vialidad,0
Direcci—n de Obras Hidr‡ulicas (DOH),Acuícola,0
Direcci—n de Obras Hidr‡ulicas (DOH),Agroindustria,0
Direcci—n de Obras Hidr‡ulicas (DOH),Aguas servidas,0
Direcci—n de Obras Hidr‡ulicas (DOH),Celulosa,0
Direcci—n de Obras Hidr‡ulicas (DOH),ERNC,0
Direcci—n de Obras Hidr‡ulicas (DOH),Gran Miner’a,0
Direcci—n de Obras Hidr‡ulicas (DOH),Hidro,0
Direcci—n de Obras Hidr‡ulicas (DOH),Hospitales,1
Direcci—n de Obras Hidr‡ulicas (DOH),Metro,1
Direcci—n de Obras Hidr‡ulicas (DOH),Planta Desaladora,0
Direcci—n de Obras Hidr‡ulicas (DOH),Qu’micos,1
Direcci—n de Obras Hidr‡ulicas (DOH),Residencial,1
Direcci—n de Obras Hidr‡ulicas (DOH),Transmisi—n,0
Direcci—n de Obras Hidr‡ulicas (DOH),Vialidad,1
Direcciones de Obras Municipales (DOM),Agroindustria,13
Direcciones de Obras Municipales (DOM),Aguas servidas,14
Direcciones de Obras Municipales (DOM),Celulosa,12
Direcciones de Obras Municipales (DOM),ERNC,13
Direcciones de Obras Municipales (DOM),Gran Miner’a,12
Direcciones de Obras Municipales (DOM),Hidro,12
Direcciones de Obras Municipales (DOM),Hospitales,19
Direcciones de Obras Municipales (DOM),Metro,6
Direcciones de Obras Municipales (DOM),Planta Desaladora,14
Direcciones de Obras Municipales (DOM),Qu’micos,14
Direcciones de Obras Municipales (DOM),Residencial,22
Direcciones de Obras Municipales (DOM),Transmisi—n,12
Direcciones de Obras Municipales (DOM),Vialidad,11
Empresa de los Ferrocarriles del Estado (EFE),Acuícola,0
Empresa de los Ferrocarriles del Estado (EFE),Agroindustria,0
Empresa de los Ferrocarriles del Estado (EFE),Aguas servidas,0
Empresa de los Ferrocarriles del Estado (EFE),Celulosa,2
Empresa de los Ferrocarriles del Estado (EFE),ERNC,1
Empresa de los Ferrocarriles del Estado (EFE),Gran Miner’a,1
Empresa de los Ferrocarriles del Estado (EFE),Hidro,1
Empresa de los Ferrocarriles del Estado (EFE),Hospitales,0
Empresa de los Ferrocarriles del Estado (EFE),Metro,0
Empresa de los Ferrocarriles del Estado (EFE),Planta Desaladora,0
Empresa de los Ferrocarriles del Estado (EFE),Qu’micos,0
Empresa de los Ferrocarriles del Estado (EFE),Residencial,0
Empresa de los Ferrocarriles del Estado (EFE),Transmisi—n,1
Empresa de los Ferrocarriles del Estado (EFE),Vialidad,1
Empresas de Servicios,Acuícola,3
Empresas de Servicios,Agroindustria,3
Empresas de Servicios,Aguas servidas,3
Empresas de Servicios,Celulosa,3
Empresas de Servicios,ERNC,0
Empresas de Servicios,Gran Miner’a,0
Empresas de Servicios,Hidro,0
Empresas de Servicios,Hospitales,5
Empresas de Servicios,Metro,4
Empresas de Servicios,Planta Desaladora,3
Empresas de Servicios,Qu’micos,3
Empresas de Servicios,Residencial,5
Empresas de Servicios,Transmisi—n,0
Empresas de Servicios,Vialidad,1
Gobernaci—n Provincial,Acuícola,0
Gobernaci—n Provincial,Agroindustria,0
Gobernaci—n Provincial,Aguas servidas,0
Gobernaci—n Provincial,Celulosa,0
Gobernaci—n Provincial,ERNC,0
Gobernaci—n Provincial,Gran Miner’a,1
Gobernaci—n Provincial,Hidro,0
Gobernaci—n Provincial,Hospitales,0
Gobernaci—n Provincial,Metro,0
Gobernaci—n Provincial,Planta Desaladora,0
Gobernaci—n Provincial,Qu’micos,0
Gobernaci—n Provincial,Residencial,0
Gobernaci—n Provincial,Transmisi—n,0
Gobernaci—n Provincial,Vialidad,0
Ministerio de Defensa,Acuícola,1
Ministerio de Defensa,Agroindustria,0
Ministerio de Defensa,Aguas servidas,0
Ministerio de Defensa,Celulosa,1
Ministerio de Defensa,ERNC,0
Ministerio de Defensa,Gran Miner’a,2
Ministerio de Defensa,Hidro,0
Ministerio de Defensa,Hospitales,0
Ministerio de Defensa,Metro,0
Ministerio de Defensa,Planta Desaladora,1
Ministerio de Defensa,Qu’micos,0
Ministerio de Defensa,Residencial,0
Ministerio de Defensa,Transmisi—n,0
Ministerio de Defensa,Vialidad,0
Ministerio de Desarrollo Social,Acuícola,0
Ministerio de Desarrollo Social,Agroindustria,0
Ministerio de Desarrollo Social,Aguas servidas,0
Ministerio de Desarrollo Social,Celulosa,0
Ministerio de Desarrollo Social,ERNC,0
Ministerio de Desarrollo Social,Gran Miner’a,0
Ministerio de Desarrollo Social,Hidro,0
Ministerio de Desarrollo Social,Hospitales,0
Ministerio de Desarrollo Social,Metro,4
Ministerio de Desarrollo Social,Planta Desaladora,0
Ministerio de Desarrollo Social,Qu’micos,0
Ministerio de Desarrollo Social,Residencial,0
Ministerio de Desarrollo Social,Transmisi—n,0
Ministerio de Desarrollo Social,Vialidad,1
Ministerio de Educaci—n (MINEDUC),Acuícola,0
Ministerio de Educaci—n (MINEDUC),Agroindustria,0
Ministerio de Educaci—n (MINEDUC),Aguas servidas,0
Ministerio de Educaci—n (MINEDUC),Celulosa,0
Ministerio de Educaci—n (MINEDUC),ERNC,0
Ministerio de Educaci—n (MINEDUC),Gran Miner’a,0
Ministerio de Educaci—n (MINEDUC),Hidro,0
Ministerio de Educaci—n (MINEDUC),Hospitales,1
Ministerio de Educaci—n (MINEDUC),Metro,0
Ministerio de Educaci—n (MINEDUC),Planta Desaladora,0
Ministerio de Educaci—n (MINEDUC),Qu’micos,0
Ministerio de Educaci—n (MINEDUC),Residencial,0
Ministerio de Educaci—n (MINEDUC),Transmisi—n,0
Ministerio de Educaci—n (MINEDUC),Vialidad,0
Ministerio de Energ’a (MINERGIA),Acuícola,0
Ministerio de Energ’a (MINERGIA),Agroindustria,0
Ministerio de Energ’a (MINERGIA),Aguas servidas,0
Ministerio de Energ’a (MINERGIA),Celulosa,2
Ministerio de Energ’a (MINERGIA),ERNC,2
Ministerio de Energ’a (MINERGIA),Gran Miner’a,2
Ministerio de Energ’a (MINERGIA),Hidro,2
Ministerio de Energ’a (MINERGIA),Hospitales,0
Ministerio de Energ’a (MINERGIA),Metro,0
Ministerio de Energ’a (MINERGIA),Planta Desaladora,0
Ministerio de Energ’a (MINERGIA),Qu’micos,0
Ministerio de Energ’a (MINERGIA),Residencial,0
Ministerio de Energ’a (MINERGIA),Transmisi—n,4
Ministerio de Energ’a (MINERGIA),Vialidad,0
Ministerio de Miner’a (MINMINERIA),Acuícola,0
Ministerio de Miner’a (MINMINERIA),Agroindustria,0
Ministerio de Miner’a (MINMINERIA),Aguas servidas,0
Ministerio de Miner’a (MINMINERIA),Celulosa,0
Ministerio de Miner’a (MINMINERIA),ERNC,0
Ministerio de Miner’a (MINMINERIA),Gran Miner’a,2
Ministerio de Miner’a (MINMINERIA),Hidro,0
Ministerio de Miner’a (MINMINERIA),Hospitales,0
Ministerio de Miner’a (MINMINERIA),Metro,0
Ministerio de Miner’a (MINMINERIA),Planta Desaladora,0
Ministerio de Miner’a (MINMINERIA),Qu’micos,0
Ministerio de Miner’a (MINMINERIA),Residencial,0
Ministerio de Miner’a (MINMINERIA),Transmisi—n,0
Ministerio de Miner’a (MINMINERIA),Vialidad,0
Ministerio de Obras Pœblicas (MOP),Acuícola,0
Ministerio de Obras Pœblicas (MOP),Agroindustria,0
Ministerio de Obras Pœblicas (MOP),Aguas servidas,0
Ministerio de Obras Pœblicas (MOP),Celulosa,0
Ministerio de Obras Pœblicas (MOP),ERNC,0
Ministerio de Obras Pœblicas (MOP),Gran Miner’a,0
Ministerio de Obras Pœblicas (MOP),Hidro,0
Ministerio de Obras Pœblicas (MOP),Hospitales,0
Ministerio de Obras Pœblicas (MOP),Metro,1
Ministerio de Obras Pœblicas (MOP),Planta Desaladora,0
Ministerio de Obras Pœblicas (MOP),Qu’micos,0
Ministerio de Obras Pœblicas (MOP),Residencial,0
Ministerio de Obras Pœblicas (MOP),Transmisi—n,0
Ministerio de Obras Pœblicas (MOP),Vialidad,9
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Acuícola,0
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Agroindustria,1
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Aguas servidas,1
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Celulosa,0
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),ERNC,0
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Gran Miner’a,0
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Hidro,0
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Hospitales,2
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Metro,2
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Planta Desaladora,1
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Qu’micos,2
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Residencial,2
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Transmisi—n,1
Ministerio y Seremi de Vivienda y Urbanismo (MINVU),Vialidad,1
MunicipalidadesAcuícola,4
Municipalidades,Agroindustria,3
Municipalidades,Aguas servidas,4
Municipalidades,Celulosa,3
Municipalidades,ERNC,4
Municipalidades,Gran Miner’a,3
Municipalidades,Hidro,4
Municipalidades,Hospitales,6
Municipalidades,Metro,5
Municipalidades,Planta Desaladora,3
Municipalidades,Qu’micos,4
Municipalidades,Residencial,8
Municipalidades,Transmisi—n,4
Municipalidades,Vialidad,3
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Acuícola,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Agroindustria,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Aguas servidas,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Celulosa,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),ERNC,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Gran Miner’a,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Hidro,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Hospitales,1
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Metro,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Planta Desaladora,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Qu’micos,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Residencial,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Transmisi—n,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Vialidad,0
Organizaciones de Certificaci—n,Acuícola,0
Organizaciones de Certificaci—n,Agroindustria,0
Organizaciones de Certificaci—n,Aguas servidas,0
Organizaciones de Certificaci—n,Celulosa,0
Organizaciones de Certificaci—n,ERNC,0
Organizaciones de Certificaci—n,Gran Miner’a,0
Organizaciones de Certificaci—n,Hidro,0
Organizaciones de Certificaci—n,Hospitales,4
Organizaciones de Certificaci—n,Metro,0
Organizaciones de Certificaci—n,Planta Desaladora,0
Organizaciones de Certificaci—n,Qu’micos,0
Organizaciones de Certificaci—n,Residencial,0
Organizaciones de Certificaci—n,Transmisi—n,0
Organizaciones de Certificaci—n,Vialidad,0
Poder Judicial,Acuícola,0
Poder Judicial,Agroindustria,0
Poder Judicial,Aguas servidas,0
Poder Judicial,Celulosa,1
Poder Judicial,ERNC,1
Poder Judicial,Gran Miner’a,2
Poder Judicial,Hidro,1
Poder Judicial,Hospitales,0
Poder Judicial,Metro,2
Poder Judicial,Planta Desaladora,0
Poder Judicial,Qu’micos,0
Poder Judicial,Residencial,0
Poder Judicial,Transmisi—n,1
Poder Judicial,Vialidad,0
Servicio Agr’cola y Ganadero (SAG),Acuícola,10
Servicio Agr’cola y Ganadero (SAG),Agroindustria,7
Servicio Agr’cola y Ganadero (SAG),Aguas servidas,9
Servicio Agr’cola y Ganadero (SAG),Celulosa,9
Servicio Agr’cola y Ganadero (SAG),ERNC,9
Servicio Agr’cola y Ganadero (SAG),Gran Miner’a,9
Servicio Agr’cola y Ganadero (SAG),Hidro,9
Servicio Agr’cola y Ganadero (SAG),Hospitales,9
Servicio Agr’cola y Ganadero (SAG),Metro,7
Servicio Agr’cola y Ganadero (SAG),Planta Desaladora,8
Servicio Agr’cola y Ganadero (SAG),Qu’micos,14
Servicio Agr’cola y Ganadero (SAG),Residencial,8
Servicio Agr’cola y Ganadero (SAG),Transmisi—n,9
Servicio Agr’cola y Ganadero (SAG),Vialidad,9
Servicio de Evaluaci—n Ambiental (SEA),Acuícola,2
Servicio de Evaluaci—n Ambiental (SEA),Agroindustria,2
Servicio de Evaluaci—n Ambiental (SEA),Aguas servidas,2
Servicio de Evaluaci—n Ambiental (SEA),Celulosa,2
